Date,Time,Activity,White Light,Sleep/Wake
2/20/2019,5:15:00 PM,7,18.47,0
2/20/2019,5:15:30 PM,36,6.86,1
2/20/2019,5:16:00 PM,0,3.9,0
2/20/2019,5:16:30 PM,2,3.7,0
2/20/2019,5:17:00 PM,21,3.27,1
2/20/2019,5:17:30 PM,18,6.72,1
2/20/2019,5:18:00 PM,18,13.69,1
2/20/2019,5:18:30 PM,0,10.19,1
2/20/2019,5:19:00 PM,24,7.16,1
2/20/2019,5:19:30 PM,73,2.82,1
2/20/2019,5:20:00 PM,176,4.76,1
2/20/2019,5:20:30 PM,139,6.52,1
2/20/2019,5:21:00 PM,62,10.46,1
